gene1,gene2,weight
CYP51A1,MVD,869
CYP51A1,SREBF2,918
CYP51A1,SDR42E1,792
CYP51A1,DHCR7,978
CYP51A1,LBR,993
CYP51A1,LSS,999
CYP51A1,HMGCS2,921
CYP51A1,CYB5A,764
CYP51A1,CH25H,976
CYP51A1,IDI2,852
CYP51A1,FAXDC2,972
CYP51A1,IDI1,942
CYP51A1,PPIG,891
CYP51A1,SQLE,998
CYP51A1,ACAT2,732
CYP51A1,HMGCR,948
CYP51A1,CYB5B,767
CYP51A1,TM7SF2,996
CYP51A1,MSMO1,996
USP28,OTUB1,726
USP28,USP15,704
USP28,RPS27A,932
USP28,KDM1A,708
USP28,USP20,710
USP28,TP53BP1,998
USP28,USP5,816
USP28,UBC,991
USP28,USP2,772
USP28,USP13,760
USP28,USP4,718
USP28,UBA52,951
USP28,UBB,930
USP28,USP14,766
USP28,MYC,966
USP28,CHEK2,852
USP28,CLSPN,900
USP28,USP8,844
USP28,FBXW7,966
USP28,TP53,806
SLC7A2,ARG2,831
SLC7A2,ARG1,841
HSPB6,HSPB8,793
HSPB6,TSG101,709
HSPB6,HSPB1,902
HSPB6,DNAJB1,776
HSPB6,HSP90AA1,783
HSPB6,SHQ1,766
HSPB6,HSP90AB1,783
HSPB6,HSPA4,842
HSPB6,SFN,916
HSPB6,YWHAG,830
HSPB6,BAG3,938
HSPB6,HSPD1,799
HSPB6,YWHAZ,701
PDK4,ANGPTL4,739
PDK4,DLAT,817
PDK4,PDK2,795
PDK4,PPARGC1A,838
PDK4,CPT1B,725
PDK4,VDAC1,829
PDK4,PPARD,702
PDK4,UCP3,734
PDK4,ITPR1,825
PDK4,PDHA1,881
PDK4,HSPA9,904
PDK4,CYCS,718
PDK4,PDHX,785
PDK4,INS,777
PDK4,PDP2,717
PDK4,PDK3,795
PDK4,SLC2A4,753
PDK4,ITPR3,817
PDK4,PPARA,740
USH1C,MYO15A,855
USH1C,OTOG,856
USH1C,ADGRV1,990
USH1C,GJB2,732
USH1C,MYO7A,999
USH1C,USH2A,990
USH1C,MYO7B,985
USH1C,CDHR2,900
USH1C,VEZT,829
USH1C,TMC1,763
USH1C,PCDH15,992
USH1C,SERGEF,772
USH1C,WHRN,950
USH1C,USHBP1,926
USH1C,GRXCR1,777
USH1C,ESPN,736
USH1C,CIB2,819
USH1C,CLRN1,909
USH1C,LHFPL5,786
USH1C,PDZD7,915
USH1C,SLC4A7,850
USH1C,CDH23,999
USH1C,CDHR5,909
USH1C,TMC2,750
USH1C,USH1G,999
USH1C,ANKS4B,995
USH1C,ABCC8,748
RALA,RALGAPB,892
RALA,FLNB,815
RALA,MAPK9,925
RALA,EXOC5,960
RALA,RHOA,930
RALA,PLD1,984
RALA,RGL3,723
RALA,EXOC8,999
RALA,RASA1,988
RALA,RALBP1,999
RALA,CNKSR2,830
RALA,AKT1,729
RALA,RGL4,895
RALA,RABIF,734
RALA,SYNJ2BP,782
RALA,ARF6,722
RALA,RALGAPA2,854
RALA,EXOC6B,819
RALA,STAT4,755
RALA,EXOC3,871
RALA,MAPK8,926
RALA,PPP2R1B,869
RALA,CALM3,827
RALA,RAC2,932
RALA,RALB,938
RALA,KRAS,759
RALA,REPS2,774
RALA,RAC3,913
RALA,CALML5,816
RALA,RGL2,981
RALA,CALML3,817
RALA,CALML6,786
RALA,RAB8A,749
RALA,HRAS,831
RALA,EXOC1,929
RALA,EXOC4,988
RALA,SLC2A4,788
RALA,RALGPS2,732
RALA,LRPAP1,881
RALA,CALML4,786
RALA,PLCD1,827
RALA,CALM1,849
RALA,RAF1,849
RALA,YBX3,774
RALA,FLNC,789
RALA,SRC,874
RALA,EXOC6,850
RALA,EXOC7,891
RALA,RAB11A,703
RALA,RALGDS,999
RALA,EXOC2,999
RALA,PLD2,974
RALA,RGL1,989
RALA,FLNA,930
RALA,ARF3,746
BAIAP2L1,WASL,936
BAIAP2L1,WAS,769
BAIAP2L1,ALG5,814
BAIAP2L1,EPS8,780
BAIAP2L1,WASF2,761
BAIAP2L1,ALG3,841
BAIAP2L1,CDC42,871
BAIAP2L1,BAIAP2,828
BAIAP2L1,ALG12,840
CACNG3,CACNB2,779
CACNG3,GRIA4,869
CACNG3,TMEM249,720
CACNG3,CATSPER2,720
CACNG3,CACNG7,939
CACNG3,CACNA2D1,978
CACNG3,CACNA1F,927
CACNG3,GRIN1,830
CACNG3,CATSPER4,723
CACNG3,RYR1,733
CACNG3,CACNA1S,916
CACNG3,CACNG1,974
CACNG3,CATSPER3,720
CACNG3,CACNA1D,957
CACNG3,CATSPERD,720
CACNG3,CATSPER1,723
CACNG3,GRIA3,852
CACNG3,OLFM2,742
CACNG3,CNIH2,835
CACNG3,GRIA1,867
CACNG3,CACNA1C,910
CACNG3,CACNB4,958
CACNG3,CATSPERE,720
CACNG3,EFCAB9,720
CACNG3,SHISA7,717
CACNG3,HTR3A,737
CACNG3,GRIN2C,788
CACNG3,CACNG5,814
CACNG3,CAMK2B,766
CACNG3,HSPA2,734
CACNG3,SHISA9,820
CACNG3,SHISA6,720
CACNG3,CATSPERZ,730
CACNG3,TMEM262,720
CACNG3,GRIN3A,794
CACNG3,CACNG8,913
CACNG3,CACNG4,905
CACNG3,GRIN3B,769
CACNG3,CATSPERB,720
CACNG3,FKBP1A,728
CACNG3,CAMK2A,805
CACNG3,CACNA1A,815
CACNG3,STAC3,720
CACNG3,CACNA2D4,915
CACNG3,CACNB1,912
CACNG3,CNIH3,804
CACNG3,GRIA2,923
CACNG3,GRIN2D,748
CACNG3,CACNG6,908
CACNG3,CATSPERG,748
CACNG3,CACNA1H,818
CACNG3,CACNB3,938
CACNG3,GRIN2A,794
CACNG3,GRIN2B,800
CACNG3,CACNG2,756
TMEM132A,HSPA5,723
DVL2,CXXC4,915
DVL2,GNAQ,911
DVL2,FRAT1,921
DVL2,WWP2,765
DVL2,NOTCH3,930
DVL2,WNT3A,916
DVL2,VANGL1,994
DVL2,AP2M1,721
DVL2,DVL3,990
DVL2,KLHL12,821
DVL2,FZD3,882
DVL2,DACT1,992
DVL2,TRIM29,856
DVL2,FZD5,964
DVL2,WWOX,898
DVL2,FRAT2,904
DVL2,CSNK2A3,906
DVL2,CTNNB1,930
DVL2,DVL1,991
DVL2,AXIN2,969
DVL2,NXN,762
DVL2,NOTCH1,931
DVL2,DAB2,786
DVL2,RHOA,717
DVL2,NKD2,957
DVL2,SMURF2,762
DVL2,WWP1,742
DVL2,PRICKLE1,979
DVL2,WNT1,784
DVL2,WWTR1,942
DVL2,ARRB2,981
DVL2,CSNK2B,940
DVL2,FZD4,985
DVL2,PRICKLE3,970
DVL2,FZD7,964
DVL2,FZD2,956
DVL2,NOTCH2,926
DVL2,AMOTL1,700
DVL2,CSNK2A2,918
DVL2,CSNK1D,875
DVL2,CCDC88C,814
DVL2,WNT8A,701
DVL2,CELSR1,784
DVL2,NKD1,962
DVL2,LRP6,993
DVL2,FZD8,937
DVL2,AMOT,708
DVL2,SQSTM1,779
DVL2,APC,964
DVL2,FZD1,928
DVL2,LRRK2,739
DVL2,BAMBI,934
DVL2,CSNK1A1,723
DVL2,FZD10,797
DVL2,GSK3B,976
DVL2,ITCH,762
DVL2,AXIN1,999
DVL2,WNT5A,978
DVL2,VHL,757
DVL2,CSNK2A1,943
DVL2,PARD6A,958
DVL2,SENP2,906
DVL2,CSNK1E,967
DVL2,PLK1,914
DVL2,ARRB1,929
DVL2,PRICKLE2,971
DVL2,CUL3,732
DVL2,NOTCH4,914
DVL2,FZD6,933
DVL2,PRICKLE4,969
DVL2,SFRP1,706
DVL2,DAAM1,978
DVL2,VANGL2,994
DVL2,INVS,942
DVL2,WNT11,880
DVL2,ADAR,750
DVL2,DAAM2,936
DVL2,FZD9,927
DVL2,APC2,908
DVL2,WNT4,747
DVL2,SMURF1,737
DVL2,LRP5,880
DVL2,WNT5B,746
DVL2,RNF43,796
RPAP3,TTI2,762
RPAP3,PDRG1,987
RPAP3,TELO2,749
RPAP3,STIP1,709
RPAP3,RUVBL1,999
RPAP3,PIH1D1,999
RPAP3,POLR3A,882
RPAP3,ASDURF,725
RPAP3,PIH1D3,721
RPAP3,POLR1D,732
RPAP3,PTGES3,876
RPAP3,MED17,774
RPAP3,GPN1,935
RPAP3,RPAP2,963
RPAP3,ASB7,778
RPAP3,PPP1CC,868
RPAP3,POLR3B,823
RPAP3,EFTUD2,762
RPAP3,URI1,977
RPAP3,HSPA8,778
RPAP3,INTS3,811
RPAP3,POLR1A,823
RPAP3,POLR2J,936
RPAP3,POLR2F,701
RPAP3,HSP90AA1,990
RPAP3,TTI1,766
RPAP3,CDC37,772
RPAP3,RUVBL2,999
RPAP3,TARBP2,904
RPAP3,HSP90AB1,992
RPAP3,HSPA4,750
RPAP3,PPP1CA,850
RPAP3,PIH1D2,902
RPAP3,NOP58,705
RPAP3,POLR3E,749
RPAP3,WDR92,995
RPAP3,TSC1,706
RPAP3,DNAAF2,782
RPAP3,GPN3,719
RPAP3,ZNHIT2,711
RPAP3,UXT,989
RPAP3,PFDN2,986
RPAP3,PFDN6,996
RPAP3,RPAP1,931
RPAP3,POLR2E,988
RPAP3,POLR2B,817
RPAP3,POLR2L,748
RPAP3,POLR1C,831
SKAP2,SIRPA,768
SKAP2,LCP2,851
SKAP2,FYB1,981
SKAP2,LCK,767
SKAP2,ITGA5,900
SKAP2,ITGA4,901
SKAP2,ITGB1,914
SKAP2,FYN,896
SKAP2,PRAM1,829
SKAP2,LYN,781
HOXA11,PAX2,763
HOXA11,HOXA10,866
HOXA11,HOXA13,757
HOXA11,FOXO1,853
HOXA11,PBX1,703
CX3CL1,CCL13,749
CX3CL1,ADAM17,769
CX3CL1,CCL25,768
CX3CL1,CCL11,992
CX3CL1,CXCL12,893
CX3CL1,CXCL8,845
CX3CL1,IL10,815
CX3CL1,CCR5,977
CX3CL1,CCL19,801
CX3CL1,CCR7,915
CX3CL1,CSF2,953
CX3CL1,IFNG,923
CX3CL1,CCL21,931
CX3CL1,CXCL1,939
CX3CL1,CCL5,971
CX3CL1,CSF3,942
CX3CL1,CD8A,704
CX3CL1,CXCL13,860
CX3CL1,FGF13,968
CX3CL1,GNA11,807
CX3CL1,CCL26,730
CX3CL1,CCL17,856
CX3CL1,GNAI1,800
CX3CL1,CXCL3,795
CX3CL1,FGF2,971
CX3CL1,TGFA,710
CX3CL1,CCL20,920
CX3CL1,GNB1,800
CX3CL1,ADAM10,823
CX3CL1,FLT3LG,889
CX3CL1,CSF1R,711
CX3CL1,CCL27,756
CX3CL1,CXCR4,995
CX3CL1,CD40LG,718
CX3CL1,CXCL5,801
CX3CL1,IL1B,839
CX3CL1,TNF,814
CX3CL1,CCR10,785
CX3CL1,CXCR1,994
CX3CL1,CX3CR1,999
CX3CL1,IL7,702
CX3CL1,CXCR6,939
CX3CL1,CCR3,930
CX3CL1,CD200R1,971
CX3CL1,CCR2,997
CX3CL1,IL1A,829
CX3CL1,CCL7,870
CX3CL1,CD200,834
CX3CL1,CCR1,905
CX3CL1,IL2,743
CX3CL1,CXCR3,990
CX3CL1,ICAM1,725
CX3CL1,XCR1,850
CX3CL1,PF4,713
CX3CL1,CCL3,733
CX3CL1,CCL2,831
CX3CL1,ITGAM,729
CX3CL1,CCR8,846
CX3CL1,CXCL6,737
CX3CL1,CCL1,866
CX3CL1,CCL4,904
CX3CL1,GNG2,800
CX3CL1,CXCR2,915
CX3CL1,CCR9,832
CX3CL1,CXCR5,787
CX3CL1,CXCL11,859
CX3CL1,CCR6,885
CX3CL1,IL4,780
CX3CL1,IL6,735
CX3CL1,CXCL2,798
CX3CL1,CXCL9,926
CX3CL1,EGF,961
CX3CL1,IFNA2,825
CX3CL1,CXCL16,914
CX3CL1,CXCL10,948
CX3CL1,CCL22,878
TRAPPC6A,TRAPPC13,933
TRAPPC6A,TRAPPC2,999
TRAPPC6A,TRAPPC1,999
TRAPPC6A,RAB1A,921
TRAPPC6A,TRAPPC4,999
TRAPPC6A,RAB1B,817
TRAPPC6A,ENSP00000485615,860
TRAPPC6A,TRAPPC3L,937
TRAPPC6A,TRAPPC5,999
TRAPPC6A,TRAPPC8,998
TRAPPC6A,TRAPPC12,989
TRAPPC6A,TRAPPC10,992
TRAPPC6A,TRAPPC11,965
TRAPPC6A,TRAPPC2L,997
TRAPPC6A,TRAPPC6B,928
TRAPPC6A,TRAPPC2B,968
TRAPPC6A,TRAPPC9,995
TRAPPC6A,TRAPPC3,999
WDR54,OSCP1,784
SPATA20,TYMS,825
SPATA20,HMBS,806
TSR3,TRMT12,728
TSR3,METTL6,850
TSR3,TSR1,827
TSR3,DTWD2,732
TSR3,DTWD1,709
TSR3,EMG1,741
TSR3,TSR2,905
OSBPL7,VAPA,759
YBX2,NOBOX,880
YBX2,FIGLA,865
YBX2,LHX8,845
YBX2,SOHLH1,897
KRT33A,KRT33B,711
KRT33A,KRT34,707
KRT33A,KRT31,776
TFAP2D,TFAP2B,795
TFAP2D,TFAP2A,836
CRY1,PRKAG3,918
CRY1,PRH2,935
CRY1,BTRC,871
CRY1,PRH1,940
CRY1,NPAS2,999
CRY1,RORC,871
CRY1,BHLHE40,969
CRY1,NFIL3,945
CRY1,CRY2,999
CRY1,ABCC2,807
CRY1,CLOCK,999
CRY1,TEF,722
CRY1,NR1D1,976
CRY1,PRKAB2,923
CRY1,TIMELESS,997
CRY1,CSNK1D,993
CRY1,PRKAG1,913
CRY1,ARNTL,999
CRY1,CSNK2B,722
CRY1,SKP1,700
CRY1,PRKAA1,923
CRY1,FBXL3,999
CRY1,ARNTL2,864
CRY1,TPTEP2-CSNK1E,961
CRY1,NR3C1,914
CRY1,CSNK1E,999
CRY1,CUL1,745
CRY1,RORB,922
CRY1,PRKAG2,908
CRY1,FOXO1,778
CRY1,PER1,998
CRY1,PRKAB1,920
CRY1,PER2,999
CRY1,BHLHE41,978
CRY1,RORA,935
CRY1,PER3,999
CRY1,PRKAA2,923
CRY1,NR1D2,967
CRY1,VIPR2,743
CRY1,DET1,743
PGLYRP1,CTSG,762
PGLYRP1,HSPA4,963
PGLYRP1,NOD1,728
PGLYRP1,BPI,713
PGLYRP1,TREM1,920
PGLYRP1,DEFA4,829
PGLYRP1,NOD2,710
PGLYRP1,MMP8,732
PGLYRP1,LTF,781
PGLYRP1,CAMP,844
STARD3NL,STARD3,942
STARD3NL,VAPB,854
STARD3NL,NPC2,861
STARD3NL,MOSPD2,724
STARD3NL,NPC1,757
STARD3NL,VAPA,933
STARD3NL,STAR,987
CAMK1G,CALML4,800
CAMK1G,NOS3,907
CAMK1G,KCNN2,769
CAMK1G,ATF1,710
CAMK1G,CREB1,754
CAMK1G,CALM2,791
CAMK1G,CALM3,943
CAMK1G,CALML5,837
CAMK1G,CALML6,809
CAMK1G,CALML3,837
CD74,RPL30,980
CD74,RPS17,978
CD74,ROS1,776
CD74,EIF5A2,765
CD74,MRPL36,971
CD74,SEC61A1,869
CD74,HLA-DPB1,982
CD74,RSAD1,923
CD74,POLR2C,877
CD74,RPL4,982
CD74,UTP6,781
CD74,POLR1C,877
CD74,RPS4X,869
CD74,RPS7,980
CD74,RPLP1,940
